p,alpha,exp_size_2,exp_size_3,exp_size_4
0.01,0,1.06132,1.06084,1.05996
0.03,0,1.223,1.20516,1.20572
0.05,0,1.39708,1.39724,1.38604
0.06999999999999999,0,1.65096,1.64236,1.62328
0.09,0,1.9596,1.94872,1.9396
0.11,0,2.49036,2.38596,2.31996
0.13,0,3.2262,3.0572,2.92036
0.15000000000000002,0,4.52176,4.09384,3.75896
0.17,0,7.68392,6.1824,5.01396
0.19,0,19.62532,11.0656,7.41176
0.01,0.25,1.04576,1.04784,1.04576
0.035555555555555556,0.25,1.18312,1.18556,1.17752
0.06111111111111111,0.25,1.36004,1.34812,1.34556
0.08666666666666666,0.25,1.57496,1.55508,1.5336
0.11222222222222221,0.25,1.86932,1.85108,1.78632
0.13777777777777778,0.25,2.27644,2.1774,2.07588
0.16333333333333333,0.25,2.91992,2.68384,2.47312
0.18888888888888888,0.25,3.93516,3.38188,2.98276
0.21444444444444444,0.25,5.8128,4.548,3.7086
0.24,0.25,10.68544,6.73904,4.76624
0.01,0.5,1.03148,1.0306,1.03168
0.04777777777777777,0.5,1.16024,1.15736,1.16024
0.08555555555555554,0.5,1.33408,1.31916,1.3096
0.12333333333333331,0.5,1.52416,1.5004,1.47744
0.1611111111111111,0.5,1.79956,1.74408,1.69544
0.19888888888888887,0.5,2.1864,2.077,1.95368
0.23666666666666664,0.5,2.70828,2.46952,2.2468
0.2744444444444444,0.5,3.60948,3.03172,2.63844
0.3122222222222222,0.5,5.107,3.85972,3.14304
0.35,0.5,8.7798,5.25656,3.76312
