p,alpha,exp_size_2,exp_size_3,exp_size_4
0.01,0,1.06452,1.06254,1.06268
0.03,0,1.21708,1.20954,1.21296
0.05,0,1.40016,1.39764,1.3884
0.06999999999999999,0,1.63682,1.63902,1.63904
0.09,0,1.97726,1.96524,1.93832
0.11,0,2.4599,2.3894,2.34206
0.13,0,3.23816,3.08058,2.88154
0.15000000000000002,0,4.57046,4.12468,3.6925
0.17,0,7.6381,6.06752,5.01884
0.19,0,19.69804,11.27324,7.48242
0.01,0.25,1.04746,1.04644,1.04548
0.035555555555555556,0.25,1.1846,1.18174,1.18088
0.06111111111111111,0.25,1.3583,1.3507,1.34098
0.08666666666666666,0.25,1.581,1.56302,1.54502
0.11222222222222221,0.25,1.87574,1.82936,1.79376
0.13777777777777778,0.25,2.26652,2.18934,2.10284
0.16333333333333333,0.25,2.87668,2.6904,2.50202
0.18888888888888888,0.25,3.87662,3.4235,3.04624
0.21444444444444444,0.25,5.8414,4.65928,3.79624
0.24,0.25,10.88626,6.88068,4.92338
0.01,0.5,1.03116,1.031,1.03146
0.04777777777777777,0.5,1.16538,1.15796,1.15952
0.08555555555555554,0.5,1.32724,1.3177,1.30576
0.12333333333333331,0.5,1.5345,1.50386,1.48594
0.1611111111111111,0.5,1.81456,1.7506,1.70222
0.19888888888888887,0.5,2.18398,2.07354,1.97196
0.23666666666666664,0.5,2.74212,2.50222,2.27952
0.2744444444444444,0.5,3.61852,3.06586,2.67226
0.3122222222222222,0.5,5.17936,3.97856,3.22778
0.35,0.5,8.7756,5.44666,3.96472
